Model (Reference: Salient Climatology),Average Temperature Anomaly (degC),Density
Salient v8,-1.64,0.065
Salient v8,-1.6,0.068
Salient v8,-1.57,0.07
Salient v8,-1.53,0.073
Salient v8,-1.49,0.075
Salient v8,-1.46,0.078
Salient v8,-1.42,0.08
Salient v8,-1.39,0.083
Salient v8,-1.35,0.086
Salient v8,-1.31,0.089
Salient v8,-1.28,0.091
Salient v8,-1.24,0.094
Salient v8,-1.2,0.097
Salient v8,-1.17,0.1
Salient v8,-1.13,0.103
Salient v8,-1.1,0.106
Salient v8,-1.06,0.109
Salient v8,-1.02,0.112
Salient v8,-0.99,0.115
Salient v8,-0.95,0.118
Salient v8,-0.91,0.121
Salient v8,-0.88,0.124
Salient v8,-0.84,0.127
Salient v8,-0.81,0.131
Salient v8,-0.77,0.134
Salient v8,-0.73,0.137
Salient v8,-0.7,0.14
Salient v8,-0.66,0.143
Salient v8,-0.62,0.146
Salient v8,-0.59,0.15
Salient v8,-0.55,0.153
Salient v8,-0.52,0.156
Salient v8,-0.48,0.159
Salient v8,-0.44,0.162
Salient v8,-0.41,0.166
Salient v8,-0.37,0.169
Salient v8,-0.33,0.172
Salient v8,-0.3,0.175
Salient v8,-0.26,0.178
Salient v8,-0.23,0.181
Salient v8,-0.19,0.185
Salient v8,-0.15,0.188
Salient v8,-0.12,0.191
Salient v8,-0.08,0.194
Salient v8,-0.04,0.197
Salient v8,-0.01,0.2
Salient v8,0.03,0.203
Salient v8,0.06,0.206
Salient v8,0.1,0.209
Salient v8,0.14,0.212
Salient v8,0.17,0.215
Salient v8,0.21,0.218
Salient v8,0.25,0.22
Salient v8,0.28,0.223
Salient v8,0.32,0.226
Salient v8,0.35,0.228
Salient v8,0.39,0.231
Salient v8,0.43,0.233
Salient v8,0.46,0.236
Salient v8,0.5,0.238
Salient v8,0.54,0.24
Salient v8,0.57,0.242
Salient v8,0.61,0.244
Salient v8,0.64,0.246
Salient v8,0.68,0.247
Salient v8,0.72,0.249
Salient v8,0.75,0.25
Salient v8,0.79,0.252
Salient v8,0.83,0.253
Salient v8,0.86,0.254
Salient v8,0.9,0.255
Salient v8,0.93,0.256
Salient v8,0.97,0.257
Salient v8,1.01,0.257
Salient v8,1.04,0.258
Salient v8,1.08,0.258
Salient v8,1.12,0.258
Salient v8,1.15,0.258
Salient v8,1.19,0.258
Salient v8,1.22,0.258
Salient v8,1.26,0.257
Salient v8,1.3,0.257
Salient v8,1.33,0.256
Salient v8,1.37,0.255
Salient v8,1.41,0.254
Salient v8,1.44,0.253
Salient v8,1.48,0.252
Salient v8,1.51,0.251
Salient v8,1.55,0.25
Salient v8,1.59,0.248
Salient v8,1.62,0.247
Salient v8,1.66,0.245
Salient v8,1.7,0.243
Salient v8,1.73,0.241
Salient v8,1.77,0.239
Salient v8,1.8,0.237
Salient v8,1.84,0.235
Salient v8,1.88,0.233
Salient v8,1.91,0.23
Salient v8,1.95,0.228
Salient v8,1.99,0.225
Salient v8,2.02,0.222
Salient v8,2.06,0.22
Salient v8,2.09,0.217
Salient v8,2.13,0.214
Salient v8,2.17,0.211
Salient v8,2.2,0.208
Salient v8,2.24,0.204
Salient v8,2.28,0.201
Salient v8,2.31,0.198
Salient v8,2.35,0.194
Salient v8,2.38,0.191
Salient v8,2.42,0.187
Salient v8,2.46,0.183
Salient v8,2.49,0.179
Salient v8,2.53,0.176
Salient v8,2.57,0.172
Salient v8,2.6,0.168
Salient v8,2.64,0.164
Salient v8,2.67,0.16
Salient v8,2.71,0.156
Salient v8,2.75,0.152
Salient v8,2.78,0.147
Salient v8,2.82,0.143
Salient v8,2.86,0.139
Salient v8,2.89,0.135
Salient v8,2.93,0.131
Salient v8,2.96,0.126
Salient v8,3.0,0.122
Salient v8,3.04,0.118
Salient v8,3.07,0.114
Salient v8,3.11,0.109
Salient v8,3.15,0.105
Salient v8,3.18,0.101
Salient v8,3.22,0.097
Salient v8,3.25,0.093
Salient v8,3.29,0.089
Salient v8,3.33,0.085
Salient v8,3.36,0.081
Salient v8,3.4,0.077
Salient v8,3.44,0.074
Salient v8,3.47,0.07
Salient v8,3.51,0.066
Salient v8,3.54,0.063
Salient v8,3.58,0.06
Salient v8,3.62,0.056
Salient v8,3.65,0.053
Salient v8,3.69,0.05
Salient v8,3.73,0.047
Salient v8,3.76,0.044
Salient v8,3.8,0.042
Salient v8,3.83,0.039
Salient v8,3.87,0.036
Salient v8,3.91,0.034
Salient v8,3.94,0.032
Salient v8,3.98,0.029
Salient v8,4.02,0.027
Salient v8,4.05,0.025
Salient v8,4.09,0.023
Salient v8,4.12,0.022
Salient v8,4.16,0.02
Salient v8,4.2,0.018
Salient v8,4.23,0.017
Salient v8,4.27,0.015
Salient v8,4.31,0.014
Salient v8,4.34,0.013
Salient v8,4.38,0.012
Salient v8,4.41,0.011
Salient v8,4.45,0.01
Salient v8,4.49,0.009
Salient v8,4.52,0.008
Salient v8,4.56,0.007
Salient v8,4.6,0.006
Salient v8,4.63,0.006
Salient v8,4.67,0.005
Salient v8,4.7,0.005
Salient v8,4.74,0.004
Salient v8,4.78,0.004
Salient v8,4.81,0.003
Salient v8,4.85,0.003
Salient v8,4.89,0.003
Salient v8,4.92,0.002
Salient v8,4.96,0.002
Salient v8,4.99,0.002
Salient v8,5.03,0.002
Salient Climatology,-0.03,
Salient v8,1.03,
